"trial","treat","e.rel.130"
"Trial 1","AD",0.38
"Trial 1","AD-L",0.105
"Trial 1","AD",0.444
"Trial 1","AD-F",0.174
"Trial 1","AD-L",0.121
"Trial 1","AD-F",0.114
"Trial 1","AD",0.401
"Trial 1","AD-F",0.184
"Trial 1","AD-L",0.0838
"Trial 2","PS-L",0.0582
"Trial 2","PS-F",0.44
"Trial 2","PS",0.174
"Trial 2","PS",0.0863
"Trial 2","PS-F",0.487
"Trial 2","PS",0.163
"Trial 2","PS-F",0.56
"Trial 2","PS-L",0.0557
"Trial 2","PS-L",0.0486
"Trial 3","AD-L",0.13
"Trial 3","AD",0.485
"Trial 3","AD-L",0.208
"Trial 3","AD-F",0.046
"Trial 3","AD-L",0.156
"Trial 3","AD",0.383
"Trial 3","AD-F",0.0471
"Trial 3","AD",0.485
"Trial 3","AD-F",-0.0186
"Trial 4","PS-F",0.226
"Trial 4","PS-L",0.108
"Trial 4","PS",0.231
"Trial 4","PS",0.17
"Trial 4","PS-F",0.213
"Trial 4","PS-L",0.0905
"Trial 4","PS",0.213
"Trial 4","PS-L",0.0943
"Trial 4","PS-F",0.196
"Trial 5","AD-F",-0.0234
"Trial 5","AD-F",0.013
"Trial 5","AD-L",0.195
"Trial 5","AD",0.388
"Trial 5","AD-F",0.021
"Trial 5","AD",0.426
"Trial 5","AD-L",0.339
"Trial 5","AD-L",0.264
"Trial 6","PS-L",0.0368
"Trial 6","PS-F",0.379
"Trial 6","PS-L",0.0112
"Trial 6","PS-F",0.443
"Trial 6","PS",0.433
"Trial 6","PS-L",-0.0175
"Trial 6","PS",0.285
"Trial 6","PS-F",0.368
"Trial 6","PS",0.336
"Trial 7","AD-FB",0.0589
"Trial 7","AD-F",0.0502
"Trial 7","AD-F",0.0281
"Trial 7","AD-FB",0.066
"Trial 7","AD-F",0.029
"Trial 7","AD-FB",0.0636
"Trial 8","AD-LB1",0.493
"Trial 8","AD-L",0.338
"Trial 8","AD-LB1",0.283
"Trial 8","AD-L",0.239
"Trial 8","AD-LB2",0.477
"Trial 8","AD-LB2",0.433
"Trial 8","AD-LB1",0.361
"Trial 8","AD-L",0.268
"Trial 8","AD-LB2",0.429
"Trial 9","PS-L",-0.0176
"Trial 9","PS-LB2",0.279
"Trial 9","PS-L",-0.0255
"Trial 9","PS-LB2",0.381
"Trial 9","PS-LB1",0.372
"Trial 9","PS-LB2",-0.0525
"Trial 9","PS-LB1",0.0269
"Trial 9","PS-L",0.0885
"Trial 9","PS-LB1",0.0504
