"new.ID","treat","pmid","e.rel.final","e.rel.final.sd","e.rel.final.n","e.cum.final","e.cum.final.sd","e.cum.final.n","e.rel.130","e.rel.130.sd","e.rel.130.n","e.cum.130","e.cum.130.sd","e.cum.130.n"
"Trial 1","AD","3367, 3369, 3373",0.412,0.0338,3,14,1.15,3,0.408,0.0329,3,13.8,1.12,3
"Trial 1","AD-L","3368, 3371, 3375",0.105,0.0188,3,3.55,0.638,3,0.103,0.0186,3,3.5,0.63,3
"Trial 1","AD-F","3370, 3372, 3374",0.159,0.0384,3,0.683,0.165,3,0.157,0.0374,3,0.676,0.161,3
"Trial 2","PS-L","3393, 3400, 3401",0.0543,0.00501,3,1.64,0.152,3,0.0542,0.00499,3,1.64,0.151,3
"Trial 2","PS-F","3394, 3397, 3399",0.498,0.0591,3,3.54,0.42,3,0.495,0.0607,3,3.52,0.431,3
"Trial 2","PS","3395, 3396, 3398",0.143,0.0484,3,4.96,1.68,3,0.141,0.0475,3,4.9,1.65,3
"Trial 3","AD-L","3376, 3378, 3380",0.165,0.04,3,6.48,1.57,3,0.165,0.0397,3,6.48,1.56,3
"Trial 3","AD","3377, 3381, 3383",0.452,0.059,3,16.5,2.16,3,0.451,0.0587,3,16.5,2.15,3
"Trial 3","AD-F","3379, 3382, 3384",0.0407,0.0156,3,0.175,0.0671,3,0.0248,0.0377,3,0.107,0.162,3
"Trial 4","PS-F","3402, 3406, 3410",0.212,0.0146,3,2.71,0.186,3,0.212,0.0146,3,2.71,0.187,3
"Trial 4","PS-L","3403, 3407, 3409",0.0979,0.00949,3,3.29,0.319,3,0.0976,0.00926,3,3.28,0.311,3
"Trial 4","PS","3404, 3405, 3408",0.205,0.0317,3,7.02,1.08,3,0.205,0.0312,3,7,1.07,3
"Trial 6","PS-L","3411, 3413, 3416",0.0286,0.0116,3,0.506,0.205,3,0.0102,0.0272,3,0.18,0.481,3
"Trial 6","PS-F","3412, 3414, 3418",0.397,0.0407,3,13.7,1.41,3,0.396,0.0405,3,13.7,1.4,3
"Trial 6","PS","3415, 3417, 3419",0.352,0.0765,3,9.19,2,3,0.351,0.0756,3,9.16,1.97,3
"Trial 7","AD-FB","3420, 3423, 3425",0.0629,0.00367,3,0.893,0.0521,3,0.0628,0.00365,3,0.892,0.0518,3
"Trial 7","AD-F","3421, 3422, 3424",0.0359,0.0125,3,0.563,0.197,3,0.0358,0.0125,3,0.562,0.197,3
"Trial 8","AD-LB1","3426, 3428, 3432",0.38,0.106,3,11.9,3.32,3,0.379,0.106,3,11.8,3.32,3
"Trial 8","AD-L","3427, 3429, 3433",0.283,0.0512,3,9,1.63,3,0.282,0.0505,3,8.96,1.61,3
"Trial 8","AD-LB2","3430, 3431, 3434",0.448,0.0265,3,13,0.77,3,0.446,0.0266,3,13,0.773,3
"Trial 9","PS-L","3435, 3437, 3442",0.0393,0.0447,3,0.696,0.791,3,0.0151,0.0637,3,0.267,1.13,3
"Trial 9","PS-LB2","3436, 3438, 3440",0.232,0.182,3,3.75,2.94,3,0.202,0.227,3,3.28,3.67,3
"Trial 9","PS-LB1","3439, 3441, 3443",0.155,0.19,3,2.69,3.31,3,0.15,0.193,3,2.6,3.35,3
"Trial 5","AD-F","3385, 3386, 3389",0.0117,0.0114,3,0.156,0.151,3,0.00355,0.0237,3,0.0472,0.315,3
"Trial 5","AD-L","3387, 3391, 3392",0.269,0.0745,3,8.57,2.37,3,0.266,0.0719,3,8.47,2.29,3
"Trial 5","AD","3388, 3390",0.41,0.027,2,18.7,1.23,2,0.407,0.0269,2,18.6,1.23,2
