"new.ID","dt","air.temp.start","air.temp.mean","air.temp.min","air.temp.max"
"Trial 1",2022-04-05 14:17:00,4.82,4.03,0,9.3
"Trial 2",2022-04-12 15:08:00,9.37,6.97,-1.9,16.7
"Trial 3",2022-04-19 15:20:00,16.3,9.96,1.5,16.5
"Trial 4",2022-04-26 16:05:00,11.1,8.09,2.7,14.7
"Trial 5",2022-09-14 14:48:00,15,11.6,4.9,16.7
"Trial 6",2022-10-19 13:51:00,12.3,10.2,1.7,15.1
"Trial 7",2022-09-28 14:43:00,11.4,10.9,8,14.8
"Trial 8",2022-09-21 13:39:00,15.1,11.1,6.1,16.7
"Trial 9",2022-10-25 13:23:00,13.8,12.7,7.7,16.5
